name,unit,description,category,low_stock_threshold,is_active,brand,vendor,material_type
Amul Butter,kg,Premium quality butter,Dairy & Dairy Product,45.000,TRUE,Amul,Hyperpure,raw_material
Amul Fresh Cream,kg,Fresh dairy cream,Dairy & Dairy Product,30.000,TRUE,Amul,Hyperpure,raw_material
Amul Processed Cheese,kg,Processed cheese block,Dairy & Dairy Product,25.000,TRUE,Amul,Hyperpure,raw_material
Black Pepper,kg,Black pepper spice,Herbs & Spices,15.000,TRUE,East Made,Hyperpure,raw_material
Black Salt,kg,Rock salt for seasoning,Herbs & Spices,20.000,TRUE,Sparsh,Hyperpure,raw_material
Chaat Masala,kg,Tangy spice blend,Herbs & Spices,18.000,TRUE,East Made,Hyperpure,raw_material
Chicken Breast Boneless,kg,Fresh boneless chicken breast,Meat & Poultry & Cold Cuts,12.000,TRUE,Local,Fresko Choice,raw_material
Chicken Thigh Boneless,kg,Fresh boneless chicken thigh,Meat & Poultry & Cold Cuts,10.000,TRUE,Local,Fresko Choice,raw_material
Chilli Powder (Eastern),kg,Red chilli powder,Herbs & Spices,22.000,TRUE,Eastern,Hyperpure,raw_material
Cinnamon Sticks,kg,Aromatic cinnamon bark,Herbs & Spices,8.000,TRUE,East Made,Hyperpure,raw_material
Cloves,kg,Dried flower buds spice,Herbs & Spices,12.000,TRUE,East Made,Hyperpure,raw_material
Coriander Powder,kg,Ground coriander seeds,Herbs & Spices,28.000,TRUE,East Made,Hyperpure,raw_material
Corn Flour,kg,Fine cornstarch,Food Grains & Grain Products,35.000,TRUE,ATC,Hyperpure,raw_material
Deggi Mirch,kg,Kashmiri red chilli powder,Herbs & Spices,16.000,TRUE,MDH,Hyperpure,raw_material
Dry Coconut,kg,Desiccated coconut,Dry Fruits & Nuts,14.000,TRUE,Minar,Hyperpure,raw_material
Dry Mango Powder,kg,Amchur powder,Herbs & Spices,11.000,TRUE,East Made,Hyperpure,raw_material
Garlic Powder,kg,Dehydrated garlic powder,Herbs & Spices,19.000,TRUE,Bakers,Punjab Store,raw_material
Green Cardamom,kg,Premium green cardamom pods,Herbs & Spices,7.000,TRUE,East Made,Hyperpure,raw_material
Guntur Chilli Whole,kg,Whole dried red chillies,Herbs & Spices,24.000,TRUE,East Made,Hyperpure,raw_material
Jeera Powder,kg,Cumin powder,Herbs & Spices,26.000,TRUE,East Made,Hyperpure,raw_material
Jeera Rice,kg,Aromatic jeera rice,Food Grains & Grain Products,40.000,TRUE,Malik Deenar,Hyperpure,raw_material
Kaju,kg,Cashew nuts,Dry Fruits & Nuts,9.000,TRUE,Bolas,Hyperpure,raw_material
Kasoori Methi,kg,Dried fenugreek leaves,Herbs & Spices,13.000,TRUE,MDH,Hyperpure,raw_material
Mayonnaise,kg,Creamy mayonnaise,Condiments & Toppings,32.000,TRUE,Foodrite,Hyperpure,raw_material
Methi Seed,kg,Fenugreek seeds,Herbs & Spices,17.000,TRUE,East Made,Hyperpure,raw_material
Mixed Veg Pickle,kg,Mixed vegetable pickle,Condiments & Toppings,21.000,TRUE,Swastiks,Hyperpure,raw_material
MSG,kg,Monosodium glutamate,Sauces & Seasoning,23.000,TRUE,Springburst,Hyperpure,raw_material
