name,unit,description,category,low_stock_threshold,is_active,brand,vendor,material_type,brand_codes
Amul Butter,kg,Premium quality butter,Dairy & Dairy Product,15,TRUE,Amul,Hyperpure,raw_material,all
Amul Fresh Cream,kg,Fresh dairy cream,Dairy & Dairy Product,24,TRUE,Amul,Hyperpure,raw_material,all
Amul Processed Cheese,kg,Processed cheese block,Dairy & Dairy Product,10,TRUE,Amul,Hyperpure,raw_material,all
Black Pepper,kg,Black pepper spice,Herbs & Spices,5,TRUE,East Made,Hyperpure,raw_material,all
Black Salt,kg,Rock salt for seasoning,Herbs & Spices,10,TRUE,Sparsh,Hyperpure,raw_material,all
Chaat Masala,kg,Tangy spice blend,Herbs & Spices,5,TRUE,East Made,Hyperpure,raw_material,all
Chicken Breast Boneless,kg,Fresh boneless chicken breast,Meat & Poultry & Cold Cuts,20,TRUE,Local,Aujiasya Trading & Hospitality PVT,raw_material,all
Chicken Thigh Boneless,kg,Fresh boneless chicken thigh,Meat & Poultry & Cold Cuts,20,TRUE,Local,Aujiasya Trading & Hospitality PVT,raw_material,all
Chilli Powder (Eastern),kg,Red chilli powder,Herbs & Spices,5,TRUE,Eastern,Hyperpure,raw_material,all
Cinnamon Sticks,kg,Aromatic cinnamon bark,Herbs & Spices,2,TRUE,East Made,Hyperpure,raw_material,all
Cloves,kg,Dried flower buds spice,Herbs & Spices,2,TRUE,East Made,Hyperpure,raw_material,all
Coriander Powder,kg,Ground coriander seeds powder,Herbs & Spices,4,TRUE,East Made,Hyperpure,raw_material,all
Corn Flour,kg,Fine cornstarch powder,Baking Essentials,10,TRUE,ATC,Hyperpure,raw_material,all
Deggi Mirch,kg,Kashmiri red chilli powder,Herbs & Spices,2,TRUE,MDH,Hyperpure,raw_material,all
Amchur powder,kg,Dried mango powder,Herbs & Spices,2,TRUE,East Made,Hyperpure,raw_material,all
Garlic Powder,kg,Dehydrated garlic powder,Herbs & Spices,2,TRUE,Bakers,Hyperpure,raw_material,all
Green Cardamom,kg,Premium green cardamom pods,Herbs & Spices,1,TRUE,East Made,Hyperpure,raw_material,all
Guntur Chilli Whole,kg,Whole dried red chillies,Herbs & Spices,5,TRUE,East Made,Hyperpure,raw_material,all
Jeera powder,kg,Powdered cumin seeds,Herbs & Spices,2,TRUE,East Made,Hyperpure,raw_material,all
Kaju Broken,kg,Cashew nuts(broken),Dry Fruits & Nuts,5,TRUE,Bolas,Hyperpure,raw_material,all
Kaju 1/2,kg,Cashew nuts(split),Dry Fruits & Nuts,2,TRUE,Bolas,Hyperpure,raw_material,all
Kasoori Methi,kg,Dried fenugreek leaves,Herbs & Spices,2,TRUE,MDH,Hyperpure,raw_material,all
Mayonnaise,kg,Creamy mayonnaise,Condiments & Toppings,24,TRUE,Foodrite,Hyperpure,raw_material,all
Methi Seed,kg,Fenugreek seeds,Herbs & Spices,0.5,TRUE,East Made,Hyperpure,raw_material,all
Mixed Veg Pickle,kg,Mixed vegetable pickle,Condiments & Toppings,10,TRUE,Swastiks,Hyperpure,raw_material,all
MSG,kg,Monosodium glutamate(flavour enhancer),Sauces & Seasoning,5,TRUE,Springburst,Hyperpure,raw_material,all
Mustard Oil,liter,Cooking mustard oil,Edible Oils & Fats,5,TRUE,Fortune,Hyperpure,raw_material,all
Mustard Seed,kg,Yellow mustard seeds,Herbs & Spices,1,TRUE,East Made,Hyperpure,raw_material,all
Nutmeg,kg,Whole nutmeg spice,Herbs & Spices,0.5,TRUE,East Made,Hyperpure,raw_material,all
Red Chilli Powder (Tikhalal),kg,Spicy red chilli powder,Herbs & Spices,5,TRUE,Everest,Hyperpure,raw_material,all
Roasted Chana,kg,Roasted chickpeas,Food Grains & Grain Products,5,TRUE,ZKP,Hyperpure,raw_material,all
Soxin Wine,btl,Cooking wine,Condiments & Toppings,30,TRUE,Noriko,Hyperpure,raw_material,all
Soya Chaap,kg,Soya chaap,Fruits & Vegetables,400,TRUE,NULL,Rivaan Enterprise,raw_material,"[""ec""]"
Star Anise,kg,Star anise spice,Herbs & Spices,1,TRUE,Minar,Hyperpure,raw_material,all
Sugar,kg,White granulated sugar,Baking Essentials,10,TRUE,ZKP,Hyperpure,raw_material,all
Sunpure Refined Oil,kg,Refined cooking oil,Edible Oils & Fats,50,TRUE,Sunpure,Hyperpure,raw_material,all
Tata Salt,kg,Iodized table salt,Sauces & Seasoning,30,TRUE,Tata,Hyperpure,raw_material,all
Tomato Ketchup,kg,Tomato sauce,Condiments & Toppings,16,TRUE,Kissan,Hyperpure,raw_material,all
Turmeric Powder (MDH),kg,Ground turmeric powder,Herbs & Spices,5,TRUE,MDH,Hyperpure,raw_material,all
Vinegar Synthetic,btl,Synthetic vinegar,Condiments & Toppings,10,TRUE,Golden Corn,Hyperpure,raw_material,all
VKL Peri Peri Marinade,kg,Peri peri marinade,Sauces & Seasoning,20,TRUE,VKL,Hyperpure,raw_material,all
White Pepper Powder,kg,White pepper spice,Herbs & Spices,1,TRUE,East Made,Hyperpure,raw_material,all
Whole Coriander Seed,kg,Whole coriander seeds,Herbs & Spices,2,TRUE,East Made,Hyperpure,raw_material,all
